"Year","Season","Week","Date","Field","TeamOne","TeamTwo","TeamOneScore","TeamTwoScore"
"2014","Summer",5,2014-07-20 13:30:00,"Greenlake Field 1","No Glove, No Love","Here For The Beer","3","8"
"2014","Summer",5,2014-07-20 15:00:00,"Greenlake Field 1","No Glove, No Love","Gomicroamadub","8","10"
"2014","Summer",5,2014-07-20 16:30:00,"Greenlake Field 1","Afternoon Delight","#Blessed","15","6"
"2014","Summer",5,2014-07-20 13:30:00,"Greenlake Field 2","Sluggernauts","Balls Deep","11","3"
"2014","Summer",5,2014-07-20 15:00:00,"Greenlake Field 2","Your Mom Plays Softball","Sluggernauts","21","0"
"2014","Summer",5,2014-07-20 16:30:00,"Greenlake Field 2","Fowl Balls","Stranger Danger","35","6"
"2014","Summer",6,2014-07-27 12:00:00,"Greenlake Field 1","Gomicroamadub","Balls Deep","3","26"
"2014","Summer",6,2014-07-27 13:30:00,"Greenlake Field 1","Son Of Pitches","Balls Deep","15","10"
"2014","Summer",6,2014-07-27 15:00:00,"Greenlake Field 1","Son Of Pitches","Stranger Danger","17","11"
"2014","Summer",6,2014-07-27 16:30:00,"Greenlake Field 1","Stranger Danger","No Glove, No Love","5","10"
"2014","Summer",6,2014-07-27 18:00:00,"Greenlake Field 1","Greenlake Jackals","#Blessed","16","19"
"2014","Summer",6,2014-07-27 12:00:00,"Greenlake Field 2","Sloppy Bunts","Sluggernauts","11","26"
"2014","Summer",6,2014-07-27 13:30:00,"Greenlake Field 2","Dirty Mike And The Boys","Afternoon Delight","8","11"
"2014","Summer",6,2014-07-27 15:00:00,"Greenlake Field 2","Your Mom Plays Softball","Find The Holes","36","9"
"2014","Summer",6,2014-07-27 16:30:00,"Greenlake Field 2","Here For The Beer","Your Mom Plays Softball","15","16"
"2014","Summer",6,2014-07-27 18:00:00,"Greenlake Field 2","Fowl Balls","Oregon Sucks!","10","16"
"2014","Summer",7,2014-08-03 12:00:00,"Greenlake Field 1","Son Of Pitches","Gomicroamadub","26","11"
"2014","Summer",7,2014-08-03 13:30:00,"Greenlake Field 1","Find The Holes","Afternoon Delight","12","15"
"2014","Summer",7,2014-08-03 15:00:00,"Greenlake Field 1","Afternoon Delight","Your Mom Plays Softball","4","20"
"2014","Summer",7,2014-08-03 16:30:00,"Greenlake Field 1","Here For The Beer","Fowl Balls","7","20"
"2014","Summer",7,2014-08-03 18:00:00,"Greenlake Field 1","Dirty Mike And The Boys","Oregon Sucks!","11","12"
"2014","Summer",7,2014-08-03 12:00:00,"Greenlake Field 2","Stranger Danger","Balls Deep","16","23"
"2014","Summer",7,2014-08-03 13:30:00,"Greenlake Field 2","Balls Deep","Sluggernauts","11","26"
"2014","Summer",7,2014-08-03 15:00:00,"Greenlake Field 2","No Glove, No Love","#Blessed","3","9"
"2014","Summer",7,2014-08-03 16:30:00,"Greenlake Field 2","The Joel Duck Experience","Sloppy Bunts","15","6"
"2014","Summer",7,2014-08-03 18:00:00,"Greenlake Field 2","The Joel Duck Experience","Greenlake Jackals","20","31"
"2014","Summer",8,2014-08-10 12:00:00,"Lower Woodland PF Field 6","Son Of Pitches","Sluggernauts","9","24"
"2014","Summer",8,2014-08-10 13:30:00,"Lower Woodland PF Field 6","#Blessed","Greenlake Jackals","7","24"
"2014","Summer",8,2014-08-10 15:00:00,"Lower Woodland PF Field 6","Sluggernauts","Greenlake Jackals","12","7"
"2014","Summer",8,2014-08-10 16:30:00,"Lower Woodland PF Field 6","Fowl Balls","Oregon Sucks!","11","9"
"2014","Summer",8,2014-08-10 18:00:00,"Lower Woodland PF Field 6","Fowl Balls","Your Mom Plays Softball","3","26"
"2015","Summer",1,2015-06-07 12:00:00,"Greenlake Field 1","Your Mom Plays Softball","Belltown Pub","21","7"
"2015","Summer",1,2015-06-07 13:30:00,"Greenlake Field 1","Crabby Swingers","Dingers","26","10"
"2015","Summer",1,2015-06-07 15:00:00,"Greenlake Field 1","Recovering Alcoballics","Here For The Beer","14","15"
